measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,DALY (per cent),upper,lower
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,1990,0.244601823,0.458681,0.077773
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,1990,2.97E-06,5.58E-06,9.41E-07
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,1990,0.001385449,0.002598,0.000441
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,1990,0.244601823,0.458681,0.077773
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,1990,2.97E-06,5.58E-06,9.41E-07
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,1990,0.001385449,0.002598,0.000441
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,1991,0.263343209,0.487737,0.08247
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,1991,3.16E-06,5.86E-06,9.91E-07
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,1991,0.001446533,0.002679,0.000453
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,1993,0.311884412,0.570714,0.096565
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,1993,3.52E-06,6.47E-06,1.09E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,1993,0.001606792,0.00294,0.000497
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,1991,0.263343209,0.487737,0.08247
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,1991,3.16E-06,5.86E-06,9.91E-07
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,1991,0.001446533,0.002679,0.000453
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,1994,0.335239355,0.622732,0.106974
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,1994,3.57E-06,6.62E-06,1.14E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,1994,0.001672678,0.003107,0.000534
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,1994,0.335239355,0.622732,0.106974
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,1994,3.57E-06,6.62E-06,1.14E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,1994,0.001672678,0.003107,0.000534
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,1992,0.285830163,0.527165,0.087512
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,1992,3.36E-06,6.18E-06,1.03E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,1992,0.00152096,0.002805,0.000466
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,1993,0.311884412,0.570714,0.096565
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,1993,3.52E-06,6.47E-06,1.09E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,1993,0.001606792,0.00294,0.000497
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,1992,0.285830163,0.527165,0.087512
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,1992,3.36E-06,6.18E-06,1.03E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,1992,0.00152096,0.002805,0.000466
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,1995,0.371248947,0.69086,0.120501
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,1995,3.73E-06,6.93E-06,1.20E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,1995,0.001795002,0.00334,0.000583
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,1995,0.371248947,0.69086,0.120501
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,1995,3.73E-06,6.93E-06,1.20E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,1995,0.001795002,0.00334,0.000583
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,1997,0.4412298,0.812182,0.147422
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,1997,4.48E-06,8.25E-06,1.51E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,1997,0.002007575,0.003695,0.000671
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,1996,0.402943658,0.748563,0.130283
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,1996,4.09E-06,7.61E-06,1.33E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,1996,0.001888947,0.003509,0.000611
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,1996,0.402943658,0.748563,0.130283
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,1996,4.09E-06,7.61E-06,1.33E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,1996,0.001888947,0.003509,0.000611
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,1998,0.474628847,0.900415,0.154883
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,1998,4.83E-06,9.13E-06,1.58E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,1998,0.002099252,0.003982,0.000685
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,1997,0.4412298,0.812182,0.147422
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,1997,4.48E-06,8.25E-06,1.51E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,1997,0.002007575,0.003695,0.000671
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,1999,0.527944258,0.981778,0.171341
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,1999,4.86E-06,9.05E-06,1.58E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,1999,0.002273173,0.004227,0.000738
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,2000,0.547967578,1.024501,0.178717
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,2000,5.23E-06,9.75E-06,1.71E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,2000,0.00230041,0.004301,0.00075
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,1999,0.527944258,0.981778,0.171341
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,1999,4.86E-06,9.05E-06,1.58E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,1999,0.002273173,0.004227,0.000738
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,2001,0.570119375,1.056338,0.187307
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,2001,5.37E-06,9.96E-06,1.76E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,2001,0.002338919,0.004334,0.000768
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,1998,0.474628847,0.900415,0.154883
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,1998,4.83E-06,9.13E-06,1.58E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,1998,0.002099252,0.003982,0.000685
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,1,Number,2001,0.570119375,1.056338,0.187307
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,2,Percent,2001,5.37E-06,9.96E-06,1.76E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,572,Eating disorders,3,Rate,2001,0.002338919,0.004334,0.000768
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,2002,0.594891446,1.120228,0.200071
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,2002,5.47E-06,1.03E-05,1.84E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,2002,0.002390403,0.004501,0.000804
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,2000,0.547967578,1.024501,0.178717
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,2000,5.23E-06,9.75E-06,1.71E-06
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,2000,0.00230041,0.004301,0.00075
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,1,Number,2004,0.639534167,1.185483,0.222358
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,2,Percent,2004,5.73E-06,1.06E-05,1.99E-06
